date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:08:59	84380/84380	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202016%2011:47:02%20GMT	https://iphone11giveaway.club/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from https://iphone11giveaway.club/)
08:09:01	6055/6055	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202017%2018:51:40%20GMT	https://iphone11giveaway.club/js/validator.min.js	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/js/validator.min.js	(from https://iphone11giveaway.club/)
08:09:03	10452/10452	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202017%2018:51:40%20GMT	https://iphone11giveaway.club/js/sweet-alert.min.js	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/js/sweet-alert.min.js	(from https://iphone11giveaway.club/)
08:09:05	21143/21143	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202017%2018:51:40%20GMT	https://iphone11giveaway.club/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/js/jquery.magnific-popup.min.js	(from https://iphone11giveaway.club/)
08:09:07	59466/59466	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202017%2018:51:40%20GMT	https://iphone11giveaway.club/js/jquery.parallax-1.1.3.js	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/js/jquery.parallax-1.1.3.js	(from https://iphone11giveaway.club/)
08:09:09	5160/5160	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202017%2018:51:40%20GMT	https://iphone11giveaway.club/js/main.js	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/js/main.js	(from https://iphone11giveaway.club/)
08:09:11	1560/1560	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2003:09:30%20GMT	https://iphone11giveaway.club/widgets.amung.us/classic/00/14.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/widgets.amung.us/classic/00/14.html	(from https://iphone11giveaway.club/)
08:09:13	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Aug%202021%2015:09:13%20GMT	https://iphone11giveaway.club/img-sys/favicon.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/img-sys/favicon.29.delayed	(from https://iphone11giveaway.club/img/apple-icon-57x57.html)
08:09:15	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Aug%202021%2015:09:15%20GMT	https://iphone11giveaway.club/img-sys/css/style.min.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/img-sys/css/style.min.2a.delayed	(from https://iphone11giveaway.club/img/apple-icon-57x57.html)
08:09:17	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Aug%202021%2015:09:17%20GMT	https://iphone11giveaway.club/img-sys/js/respond.min.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/img-sys/js/respond.min.2b.delayed	(from https://iphone11giveaway.club/img/apple-icon-57x57.html)
08:09:19	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Aug%202021%2015:09:19%20GMT	https://iphone11giveaway.club/img-sys/js/modernizr-2.6.2.min.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/img-sys/js/modernizr-2.6.2.min.2c.delayed	(from https://iphone11giveaway.club/img/apple-icon-57x57.html)
08:09:21	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Aug%202021%2015:09:21%20GMT	https://iphone11giveaway.club/img-sys/img/snappy.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/img-sys/img/snappy.2d.delayed	(from https://iphone11giveaway.club/img/apple-icon-57x57.html)
08:09:23	1622/1622	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/fonts/glyphicons-halflings-regular.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/fonts/glyphicons-halflings-regular.html	(from https://iphone11giveaway.club/css/bootstrap.min.css)
08:09:25	1746/1746	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/fonts/glyphicons-halflings-regulard41dd41dd41dd41dd41dd41d.html?	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/fonts/glyphicons-halflings-regulard41dd41dd41dd41dd41dd41dd41d.html	(from https://iphone11giveaway.club/css/bootstrap.min.css)
08:09:27	1640/1640	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/fonts/glyphicons-halflings-regular-2.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/fonts/glyphicons-halflings-regular-2.html	(from https://iphone11giveaway.club/css/bootstrap.min.css)
08:09:29	1640/1640	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/fonts/glyphicons-halflings-regular-3.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/fonts/glyphicons-halflings-regular-3.html	(from https://iphone11giveaway.club/css/bootstrap.min.css)
08:09:31	1640/1640	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/fonts/glyphicons-halflings-regular-4.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/fonts/glyphicons-halflings-regular-4.html	(from https://iphone11giveaway.club/css/bootstrap.min.css)
08:09:33	1640/1640	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/fonts/glyphicons-halflings-regular-5.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/fonts/glyphicons-halflings-regular-5.html	(from https://iphone11giveaway.club/css/bootstrap.min.css)
08:09:35	1423/1423	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2010:21:24%20GMT	https://iphone11giveaway.club/img/headerbg.html	C:/My%20Web%20Sites/Ip3/iphone11giveaway.club/img/headerbg.html	(from https://iphone11giveaway.club/css/style.css)
